T_eva / kPa;T_h / K;T_pp / k;T_sh / k;T_sc / k;T_con / K;E_th;E_ex
500;430;11;0;4;308,15;0,099808604;0,313611252
500;440;11;0;4;308,15;0,099808604;0,299051998
500;450;11;0;4;308,15;0,099808604;0,286349199
500;460;11;0;4;308,15;0,099808604;0,275169062
500;470;11;0;4;308,15;0,099808604;0,265253288
500;480;11;0;4;308,15;0,099808604;0,256398876
500;400;13;0;4;308,15;0,099808604;0,373640072
500;410;13;0;4;308,15;0,099808604;0,350205629
500;420;13;0;4;308,15;0,099808604;0,330466013
500;430;13;0;4;308,15;0,099808604;0,313611252
500;440;13;0;4;308,15;0,099808604;0,299051998
500;450;13;0;4;308,15;0,099808604;0,286349199
500;460;13;0;4;308,15;0,099808604;0,275169062
500;470;13;0;4;308,15;0,099808604;0,265253288
500;480;13;0;4;308,15;0,099808604;0,256398876
500;400;15;0;4;308,15;0,099808604;0,373640072
500;410;15;0;4;308,15;0,099808604;0,350205629
500;420;15;0;4;308,15;0,099808604;0,330466013
500;430;15;0;4;308,15;0,099808604;0,313611252
500;440;15;0;4;308,15;0,099808604;0,299051998
500;450;15;0;4;308,15;0,099808604;0,286349199
500;460;15;0;4;308,15;0,099808604;0,275169062
500;470;15;0;4;308,15;0,099808604;0,265253288
500;480;15;0;4;308,15;0,099808604;0,256398876
500;400;17;0;4;308,15;0,099808604;0,373640072
500;410;17;0;4;308,15;0,099808604;0,350205629
500;420;17;0;4;308,15;0,099808604;0,330466013
500;430;17;0;4;308,15;0,099808604;0,313611252
500;440;17;0;4;308,15;0,099808604;0,299051998
500;450;17;0;4;308,15;0,099808604;0,286349199
500;460;17;0;4;308,15;0,099808604;0,275169062
500;470;17;0;4;308,15;0,099808604;0,265253288
500;480;17;0;4;308,15;0,099808604;0,256398876
500;400;19;0;4;308,15;0,099808604;0,373640072
500;410;19;0;4;308,15;0,099808604;0,350205629
500;420;19;0;4;308,15;0,099808604;0,330466013
500;430;19;0;4;308,15;0,099808604;0,313611252
500;440;19;0;4;308,15;0,099808604;0,299051998
500;450;19;0;4;308,15;0,099808604;0,286349199
500;460;19;0;4;308,15;0,099808604;0,275169062
500;470;19;0;4;308,15;0,099808604;0,265253288
500;480;19;0;4;308,15;0,099808604;0,256398876
500;400;5;0;6;308,15;0,098931409;0,370356234
500;410;5;0;6;308,15;0,098931409;0,347127751
500;420;5;0;6;308,15;0,098931409;0,327561622
500;430;5;0;6;308,15;0,098931409;0,310854994
500;440;5;0;6;308,15;0,098931409;0,296423697
500;450;5;0;6;308,15;0,098931409;0,283832541
500;460;5;0;6;308,15;0,098931409;0,272750663
500;470;5;0;6;308,15;0,098931409;0,262922037
500;480;5;0;6;308,15;0,098931409;0,254145445
500;400;7;0;6;308,15;0,098931409;0,370356234
500;410;7;0;6;308,15;0,098931409;0,347127751
500;420;7;0;6;308,15;0,098931409;0,327561622
500;430;7;0;6;308,15;0,098931409;0,310854994
500;440;7;0;6;308,15;0,098931409;0,296423697
500;450;7;0;6;308,15;0,098931409;0,283832541
500;460;7;0;6;308,15;0,098931409;0,272750663
500;470;7;0;6;308,15;0,098931409;0,262922037
500;480;7;0;6;308,15;0,098931409;0,254145445
500;400;9;0;6;308,15;0,098931409;0,370356234
500;410;9;0;6;308,15;0,098931409;0,347127751
500;420;9;0;6;308,15;0,098931409;0,327561622
500;430;9;0;6;308,15;0,098931409;0,310854994
500;440;9;0;6;308,15;0,098931409;0,296423697
500;450;9;0;6;308,15;0,098931409;0,283832541
500;460;9;0;6;308,15;0,098931409;0,272750663
500;470;9;0;6;308,15;0,098931409;0,262922037
500;480;9;0;6;308,15;0,098931409;0,254145445
500;400;11;0;6;308,15;0,098931409;0,370356234
500;410;11;0;6;308,15;0,098931409;0,347127751
500;420;11;0;6;308,15;0,098931409;0,327561622
500;430;11;0;6;308,15;0,098931409;0,310854994
500;440;11;0;6;308,15;0,098931409;0,296423697
500;450;11;0;6;308,15;0,098931409;0,283832541
500;460;11;0;6;308,15;0,098931409;0,272750663
500;470;11;0;6;308,15;0,098931409;0,262922037
500;480;11;0;6;308,15;0,098931409;0,254145445
500;400;13;0;6;308,15;0,098931409;0,370356234
500;410;13;0;6;308,15;0,098931409;0,347127751
500;420;13;0;6;308,15;0,098931409;0,327561622
500;430;13;0;6;308,15;0,098931409;0,310854994
500;440;13;0;6;308,15;0,098931409;0,296423697
500;450;13;0;6;308,15;0,098931409;0,283832541
500;460;13;0;6;308,15;0,098931409;0,272750663
500;470;13;0;6;308,15;0,098931409;0,262922037
500;480;13;0;6;308,15;0,098931409;0,254145445
500;400;15;0;6;308,15;0,098931409;0,370356234
500;410;15;0;6;308,15;0,098931409;0,347127751
500;420;15;0;6;308,15;0,098931409;0,327561622
500;430;15;0;6;308,15;0,098931409;0,310854994
500;440;15;0;6;308,15;0,098931409;0,296423697
500;450;15;0;6;308,15;0,098931409;0,283832541
500;460;15;0;6;308,15;0,098931409;0,272750663
500;470;15;0;6;308,15;0,098931409;0,262922037
500;480;15;0;6;308,15;0,098931409;0,254145445
500;400;17;0;6;308,15;0,098931409;0,370356234
500;410;17;0;6;308,15;0,098931409;0,347127751
500;420;17;0;6;308,15;0,098931409;0,327561622
500;430;17;0;6;308,15;0,098931409;0,310854994
500;440;17;0;6;308,15;0,098931409;0,296423697
500;450;17;0;6;308,15;0,098931409;0,283832541
500;460;17;0;6;308,15;0,098931409;0,272750663
500;470;17;0;6;308,15;0,098931409;0,262922037
500;480;17;0;6;308,15;0,098931409;0,254145445
500;400;19;0;6;308,15;0,098931409;0,370356234
500;410;19;0;6;308,15;0,098931409;0,347127751
500;420;19;0;6;308,15;0,098931409;0,327561622
500;430;19;0;6;308,15;0,098931409;0,310854994
500;440;19;0;6;308,15;0,098931409;0,296423697
500;450;19;0;6;308,15;0,098931409;0,283832541
500;460;19;0;6;308,15;0,098931409;0,272750663
500;470;19;0;6;308,15;0,098931409;0,262922037
500;480;19;0;6;308,15;0,098931409;0,254145445
500;400;5;0;8;308,15;0,0980716;0,367137481
500;410;5;0;8;308,15;0,0980716;0,344110876
500;420;5;0;8;308,15;0,0980716;0,324714796
500;430;5;0;8;308,15;0,0980716;0,308153364
500;440;5;0;8;308,15;0,0980716;0,29384749
500;450;5;0;8;308,15;0,0980716;0,281365763
500;460;5;0;8;308,15;0,0980716;0,270380197
500;470;5;0;8;308,15;0,0980716;0,260636991
500;480;5;0;8;308,15;0,0980716;0,251936676
500;400;7;0;8;308,15;0,0980716;0,367137481
500;410;7;0;8;308,15;0,0980716;0,344110876
500;420;7;0;8;308,15;0,0980716;0,324714796
500;430;7;0;8;308,15;0,0980716;0,308153364
500;440;7;0;8;308,15;0,0980716;0,29384749
500;450;7;0;8;308,15;0,0980716;0,281365763
500;460;7;0;8;308,15;0,0980716;0,270380197
500;470;7;0;8;308,15;0,0980716;0,260636991
500;480;7;0;8;308,15;0,0980716;0,251936676
